,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
160,2020年8月24日,342.92,342.12,342.96,341.1,48.59,1.01,1598198400.0,342.92,346.70399999999995,346.1741666666667,341.6475,338.64153846153846,341.50716666666654,2020-08-24
161,2020年8月25日,344.12,343.53,344.14,342.27,38.46,0.35,1598284800.0,344.12,347.98199999999997,345.4216666666667,341.0165,338.3326923076923,341.80216666666655,2020-08-25
162,2020年8月26日,347.57,344.73,347.85,344.17,50.79,1.0,1598371200.0,347.57,349.678,344.5833333333333,339.9425,338.0603846153847,342.0048333333333,2020-08-26
163,2020年8月27日,348.33,348.36,349.89,346.54,58.03,0.22,1598457600.0,348.33,351.70400000000006,343.8241666666666,338.73900000000003,337.5323076923077,342.17499999999995,2020-08-27
164,2020年8月28日,350.58,349.44,350.72,348.15,48.59,0.65,1598544000.0,350.58,351.116,343.14416666666665,337.759,337.20269230769225,342.29166666666663,2020-08-28
165,2020年8月31日,349.31,350.29,351.26,349.11,66.1,-0.36,1598803200.0,349.31,349.514,342.1641666666667,336.9395,336.6007692307692,342.4063333333333,2020-08-31
166,2020年9月1日,352.6,350.22,352.64,349.26,55.0,0.94,1598889600.0,352.6,346.294,341.0416666666667,336.0924999999999,336.2719230769231,342.6381666666667,2020-09-01
167,2020年9月2日,357.7,354.51,358.66,353.45,69.54,1.45,1598976000.0,357.7,343.73199999999997,339.21250000000003,335.207,335.9326923076923,342.8058333333334,2020-09-02
168,2020年9月3日,345.39,355.87,356.35,342.62,148.01,-3.44,1599062400.0,345.39,338.96999999999997,336.6516666666667,334.174,335.5153846153846,342.90533333333326,2020-09-03
169,2020年9月4日,342.57,346.13,347.83,334.87,139.16,-0.82,1599148800.0,342.57,336.704,335.3941666666667,333.59650000000005,335.78615384615387,343.1831666666667,2020-09-04
170,2020年9月8日,333.21,336.12,337.98,332.88,114.47,-2.73,1599494400.0,333.21,335.882,333.7333333333333,333.456,336.0769230769231,343.57399999999996,2020-09-08
171,2020年9月9日,339.79,337.62,342.45,336.66,91.46,1.97,1599580800.0,339.79,337.274,332.92416666666674,333.54200000000003,336.643076923077,344.1336666666667,2020-09-09
172,2020年9月10日,333.89,341.74,342.51,332.92,90.57,-1.74,1599667200.0,333.89,337.08000000000004,332.0025,333.5905000000001,336.9396153846154,344.58200000000005,2020-09-10
173,2020年9月11日,334.06,335.82,336.97,331.0,84.68,0.05,1599753600.0,334.06,337.46999999999997,332.0275,334.08500000000004,337.45500000000004,345.18133333333327,2020-09-11
174,2020年9月14日,338.46,337.55,340.36,336.95,65.61,1.32,1600012800.0,338.46,336.788,331.88666666666666,334.72450000000003,337.76076923076926,345.76516666666663,2020-09-14
175,2020年9月15日,340.17,341.26,342.0,339.02,52.92,0.51,1600099200.0,340.17,334.49,331.58916666666664,335.423,337.94999999999993,346.2936666666666,2020-09-15
176,2020年9月16日,338.82,341.66,343.03,338.59,82.21,-0.4,1600185600.0,338.82,332.51599999999996,331.3283333333333,335.921,338.0484615384615,346.7383333333333,2020-09-16
177,2020年9月17日,335.84,333.55,337.66,333.01,91.52,-0.88,1600272000.0,335.84,329.28000000000003,330.9133333333333,336.3765000000001,338.2711538461539,347.2034999999999,2020-09-17
178,2020年9月18日,330.65,335.37,335.49,327.97,105.88,-1.55,1600358400.0,330.65,326.812,331.24,336.95950000000005,338.6534615384616,347.7111666666666,2020-09-18
179,2020年9月21日,326.97,325.61,326.98,321.73,99.45,-1.11,1600617600.0,326.97,326.428,331.5966666666667,337.7915,338.9896153846154,348.27799999999996,2020-09-21
180,2020年9月22日,330.3,328.45,330.89,325.9,63.61,1.02,1600704000.0,330.3,327.872,332.74583333333334,338.54350000000005,339.4223076923077,348.9883333333333,2020-09-22
181,2020年9月23日,322.64,330.86,331.16,322.1,93.11,-2.32,1600790400.0,322.64,328.28599999999994,333.8691666666666,339.19750000000005,339.28230769230765,349.65283333333326,2020-09-23
182,2020年9月24日,323.5,321.08,326.75,319.82,76.68,0.27,1600876800.0,323.5,330.736,335.8866666666666,340.20200000000006,339.5646153846154,350.47950000000003,2020-09-24
183,2020年9月25日,328.73,322.63,329.56,321.68,71.07,1.62,1600963200.0,328.73,333.444,338.29749999999996,341.25750000000005,339.6815384615385,351.2408333333333,2020-09-25
184,2020年9月28日,334.19,333.38,334.89,332.17,64.58,1.66,1601222400.0,334.19,334.466,340.08083333333326,342.11,339.738076923077,351.893,2020-09-28
